customer_id,store_id,first_name,last_name,email,active,address,district,city,country,zip,phone
52,1,JULIE,SANCHEZ,JULIE.SANCHEZ@sakilacustomer.org,1,939 Probolinggo Loop,Galicia,A Corua (La Corua),Spain,4166,680428310138
53,1,HEATHER,MORRIS,HEATHER.MORRIS@sakilacustomer.org,1,17 Kabul Boulevard,Chiba,Nagareyama,Japan,38594,697760867968
54,1,TERESA,ROGERS,TERESA.ROGERS@sakilacustomer.org,1,1964 Allappuzha (Alleppey) Street,Yamaguchi,Iwakuni,Japan,48980,920811325222
55,2,DORIS,REED,DORIS.REED@sakilacustomer.org,1,1697 Kowloon and New Kowloon Loop,Moskova,Balaiha,Russian Federation,57807,499352017190
56,1,GLORIA,COOK,GLORIA.COOK@sakilacustomer.org,1,1668 Saint Louis Place,Tahiti,Papeete,French Polynesia,39072,347487831378
57,2,EVELYN,MORGAN,EVELYN.MORGAN@sakilacustomer.org,1,943 Tokat Street,Vaduz,Vaduz,Liechtenstein,45428,889318963672
58,1,JEAN,BELL,JEAN.BELL@sakilacustomer.org,1,1114 Liepaja Street,Sarawak,Kuching,Malaysia,69226,212869228936
59,1,CHERYL,MURPHY,CHERYL.MURPHY@sakilacustomer.org,1,1213 Ranchi Parkway,Karnataka,Mysore,India,94352,800024380485
60,1,MILDRED,BAILEY,MILDRED.BAILEY@sakilacustomer.org,1,81 Hodeida Way,Rajasthan,Jaipur,India,55561,250767749542
61,2,KATHERINE,RIVERA,KATHERINE.RIVERA@sakilacustomer.org,1,915 Ponce Place,Basel-Stadt,Basel,Switzerland,83980,1395251317
62,1,JOAN,COOPER,JOAN.COOPER@sakilacustomer.org,1,1717 Guadalajara Lane,Missouri,Saint Louis,United States,85505,914090181665
63,1,ASHLEY,RICHARDSON,ASHLEY.RICHARDSON@sakilacustomer.org,1,1214 Hanoi Way,Nebraska,Lincoln,United States,67055,491001136577
64,2,JUDITH,COX,JUDITH.COX@sakilacustomer.org,0,1966 Amroha Avenue,Sichuan,Daxian,China,70385,333489324603
65,2,ROSE,HOWARD,ROSE.HOWARD@sakilacustomer.org,1,698 Otsu Street,Cayenne,Cayenne,French Guiana,71110,409983924481
66,2,JANICE,WARD,JANICE.WARD@sakilacustomer.org,1,1150 Kimchon Manor,Skne ln,Malm,Sweden,96109,663449333709
67,1,KELLY,TORRES,KELLY.TORRES@sakilacustomer.org,1,1586 Guaruj Place,Hunan,Xiangtan,China,5135,947233365992
68,1,NICOLE,PETERSON,NICOLE.PETERSON@sakilacustomer.org,1,57 Arlington Manor,Madhya Pradesh,Shivapuri,India,48960,990214419142
69,2,JUDY,GRAY,JUDY.GRAY@sakilacustomer.org,1,1031 Daugavpils Parkway,Bchar,Bchar,Algeria,59025,107137400143
70,2,CHRISTINA,RAMIREZ,CHRISTINA.RAMIREZ@sakilacustomer.org,1,1124 Buenaventura Drive,Mekka,al-Hawiya,Saudi Arabia,6856,407733804223
71,1,KATHY,JAMES,KATHY.JAMES@sakilacustomer.org,1,492 Cam Ranh Street,Eastern Visayas,Baybay,Philippines,50805,565018274456
72,2,THERESA,WATSON,THERESA.WATSON@sakilacustomer.org,1,89 Allappuzha (Alleppey) Manor,National Capital Reg,Taguig,Philippines,75444,255800440636
73,2,BEVERLY,BROOKS,BEVERLY.BROOKS@sakilacustomer.org,1,1947 Poos de Caldas Boulevard,Chiayi,Chiayi,Taiwan,60951,427454485876
74,1,DENISE,KELLY,DENISE.KELLY@sakilacustomer.org,1,1206 Dos Quebradas Place,So Paulo,Rio Claro,Brazil,20207,241832790687
75,2,TAMMY,SANDERS,TAMMY.SANDERS@sakilacustomer.org,1,1551 Rampur Lane,Changhwa,Changhwa,Taiwan,72394,251164340471
76,2,IRENE,PRICE,IRENE.PRICE@sakilacustomer.org,1,602 Paarl Street,Pavlodar,Pavlodar,Kazakstan,98889,896314772871
77,2,JANE,BENNETT,JANE.BENNETT@sakilacustomer.org,1,1692 Ede Loop,So Paulo,Araatuba,Brazil,9223,918711376618
78,1,LORI,WOOD,LORI.WOOD@sakilacustomer.org,1,936 Salzburg Lane,Uttar Pradesh,Rae Bareli,India,96709,875756771675
79,1,RACHEL,BARNES,RACHEL.BARNES@sakilacustomer.org,1,586 Tete Way,Kanagawa,Kamakura,Japan,1079,18581624103
80,1,MARILYN,ROSS,MARILYN.ROSS@sakilacustomer.org,1,1888 Kabul Drive,Oyo & Osun,Ife,Nigeria,20936,701457319790
81,1,ANDREA,HENDERSON,ANDREA.HENDERSON@sakilacustomer.org,1,320 Baiyin Parkway,Mahajanga,Mahajanga,Madagascar,37307,223664661973
82,1,KATHRYN,COLEMAN,KATHRYN.COLEMAN@sakilacustomer.org,1,927 Baha Blanca Parkway,Krim,Simferopol,Ukraine,9495,821972242086
83,1,LOUISE,JENKINS,LOUISE.JENKINS@sakilacustomer.org,1,929 Tallahassee Loop,Gauteng,Springs,South Africa,74671,800716535041
84,2,SARA,PERRY,SARA.PERRY@sakilacustomer.org,1,125 Citt del Vaticano Boulevard,Puebla,Atlixco,Mexico,67912,48417642933
85,2,ANNE,POWELL,ANNE.POWELL@sakilacustomer.org,1,1557 Ktahya Boulevard,England,Bradford,United Kingdom,88002,720998247660
86,2,JACQUELINE,LONG,JACQUELINE.LONG@sakilacustomer.org,1,870 Ashqelon Loop,Songkhla,Songkhla,Thailand,84931,135117278909
87,1,WANDA,PATTERSON,WANDA.PATTERSON@sakilacustomer.org,1,1740 Portoviejo Avenue,Sucre,Sincelejo,Colombia,29932,198123170793
88,2,BONNIE,HUGHES,BONNIE.HUGHES@sakilacustomer.org,1,1942 Ciparay Parkway,Cheju,Cheju,South Korea,82624,978987363654
89,1,JULIA,FLORES,JULIA.FLORES@sakilacustomer.org,1,1926 El Alto Avenue,Buenos Aires,La Plata,Argentina,75543,846225459260
90,2,RUBY,WASHINGTON,RUBY.WASHINGTON@sakilacustomer.org,1,1952 Chatsworth Drive,Guangdong,Meixian,China,25958,991562402283
91,2,LOIS,BUTLER,LOIS.BUTLER@sakilacustomer.org,1,1370 Le Mans Avenue,Brunei and Muara,Bandar Seri Begawan,Brunei,52163,345679835036
92,2,TINA,SIMMONS,TINA.SIMMONS@sakilacustomer.org,1,984 Effon-Alaiye Avenue,Gois,Goinia,Brazil,17119,132986892228
93,1,PHYLLIS,FOSTER,PHYLLIS.FOSTER@sakilacustomer.org,1,832 Nakhon Sawan Manor,Inner Mongolia,Zalantun,China,49021,275595571388
94,1,NORMA,GONZALES,NORMA.GONZALES@sakilacustomer.org,1,152 Kitwe Parkway,Caraga,Bislig,Philippines,53182,835433605312
95,2,PAULA,BRYANT,PAULA.BRYANT@sakilacustomer.org,1,1697 Tanauan Lane,Punjab,Pathankot,India,22870,4764773857
96,1,DIANA,ALEXANDER,DIANA.ALEXANDER@sakilacustomer.org,1,1308 Arecibo Way,Georgia,Augusta-Richmond County,United States,30695,6171054059
97,2,ANNIE,RUSSELL,ANNIE.RUSSELL@sakilacustomer.org,1,1599 Plock Drive,Tete,Tete,Mozambique,71986,817248913162
98,1,LILLIAN,GRIFFIN,LILLIAN.GRIFFIN@sakilacustomer.org,1,669 Firozabad Loop,Abu Dhabi,al-Ayn,United Arab Emirates,92265,412903167998
99,2,EMILY,DIAZ,EMILY.DIAZ@sakilacustomer.org,1,588 Vila Velha Manor,Kyongsangbuk,Kimchon,South Korea,51540,333339908719
100,1,ROBIN,HAYES,ROBIN.HAYES@sakilacustomer.org,1,1913 Kamakura Place,Lipetsk,Jelets,Russian Federation,97287,942570536750
101,1,PEGGY,MYERS,PEGGY.MYERS@sakilacustomer.org,1,733 Mandaluyong Place,Asir,Abha,Saudi Arabia,77459,196568435814
102,1,CRYSTAL,FORD,CRYSTAL.FORD@sakilacustomer.org,1,659 Vaduz Drive,Ha Darom,Ashdod,Israel,49708,709935135487
103,1,GLADYS,HAMILTON,GLADYS.HAMILTON@sakilacustomer.org,1,1177 Jelets Way,Kwara & Kogi,Ilorin,Nigeria,3305,484292626944
104,1,RITA,GRAHAM,RITA.GRAHAM@sakilacustomer.org,1,1386 Yangor Avenue,Provence-Alpes-Cte,Toulon,France,80720,449216226468
105,1,DAWN,SULLIVAN,DAWN.SULLIVAN@sakilacustomer.org,1,454 Nakhon Sawan Boulevard,Funafuti,Funafuti,Tuvalu,76383,963887147572
106,1,CONNIE,WALLACE,CONNIE.WALLACE@sakilacustomer.org,1,1867 San Juan Bautista Tuxtepec Avenue,Ivanovo,Ivanovo,Russian Federation,78311,547003310357
107,1,FLORENCE,WOODS,FLORENCE.WOODS@sakilacustomer.org,1,1532 Dzerzinsk Way,Buenos Aires,Merlo,Argentina,9599,330838016880
108,1,TRACY,COLE,TRACY.COLE@sakilacustomer.org,1,1002 Ahmadnagar Manor,Mxico,Huixquilucan,Mexico,93026,371490777743
109,2,EDNA,WEST,EDNA.WEST@sakilacustomer.org,1,682 Junan Way,North West,Klerksdorp,South Africa,30418,622255216127
110,2,TIFFANY,JORDAN,TIFFANY.JORDAN@sakilacustomer.org,1,804 Elista Drive,Hubei,Enshi,China,61069,379804592943
111,1,CARMEN,OWENS,CARMEN.OWENS@sakilacustomer.org,1,1378 Alvorada Avenue,Distrito Federal,Caracas,Venezuela,75834,272234298332
112,2,ROSA,REYNOLDS,ROSA.REYNOLDS@sakilacustomer.org,1,793 Cam Ranh Avenue,California,Lancaster,United States,87057,824370924746
113,2,CINDY,FISHER,CINDY.FISHER@sakilacustomer.org,1,1079 Tel Aviv-Jaffa Boulevard,Sucre,Cuman,Venezuela,10885,358178933857
114,2,GRACE,ELLIS,GRACE.ELLIS@sakilacustomer.org,1,442 Rae Bareli Place,Nordrhein-Westfalen,Duisburg,Germany,24321,886636413768
115,1,WENDY,HARRISON,WENDY.HARRISON@sakilacustomer.org,1,1107 Nakhon Sawan Avenue,Mxico,Nezahualcyotl,Mexico,75149,867546627903
116,1,VICTORIA,GIBSON,VICTORIA.GIBSON@sakilacustomer.org,1,544 Malm Parkway,Central Java,Pemalang,Indonesia,63502,386759646229
117,1,EDITH,MCDONALD,EDITH.MCDONALD@sakilacustomer.org,1,1967 Sincelejo Place,Gujarat,Gandhinagar,India,73644,577812616052
118,1,KIM,CRUZ,KIM.CRUZ@sakilacustomer.org,1,333 Goinia Way,Texas,Grand Prairie,United States,78625,909029256431
119,1,SHERRY,MARSHALL,SHERRY.MARSHALL@sakilacustomer.org,1,1987 Coacalco de Berriozbal Loop,al-Qalyubiya,Shubra al-Khayma,Egypt,96065,787654415858
120,2,SYLVIA,ORTIZ,SYLVIA.ORTIZ@sakilacustomer.org,1,241 Mosul Lane,Risaralda,Dos Quebradas,Colombia,76157,765345144779
121,1,JOSEPHINE,GOMEZ,JOSEPHINE.GOMEZ@sakilacustomer.org,1,211 Chiayi Drive,Uttar Pradesh,Etawah,India,58186,665993880048
122,1,THELMA,MURRAY,THELMA.MURRAY@sakilacustomer.org,1,1175 Tanauan Way,Lima,Lima,Peru,64615,937222955822
123,2,SHANNON,FREEMAN,SHANNON.FREEMAN@sakilacustomer.org,1,117 Boa Vista Way,Uttar Pradesh,Varanasi (Benares),India,6804,677976133614
124,1,SHEILA,WELLS,SHEILA.WELLS@sakilacustomer.org,0,848 Tafuna Manor,Ktahya,Ktahya,Turkey,45142,614935229095
125,1,ETHEL,WEBB,ETHEL.WEBB@sakilacustomer.org,1,569 Baicheng Lane,Gauteng,Boksburg,South Africa,60304,490211944645
126,1,ELLEN,SIMPSON,ELLEN.SIMPSON@sakilacustomer.org,1,1666 Qomsheh Drive,So Paulo,Po,Brazil,66255,582835362905
127,2,ELAINE,STEVENS,ELAINE.STEVENS@sakilacustomer.org,1,801 Hagonoy Drive,Smolensk,Smolensk,Russian Federation,8439,237426099212
128,1,MARJORIE,TUCKER,MARJORIE.TUCKER@sakilacustomer.org,1,1050 Garden Grove Avenue,Slaskie,Jastrzebie-Zdrj,Poland,4999,973047364353
129,1,CARRIE,PORTER,CARRIE.PORTER@sakilacustomer.org,1,1854 Tieli Street,Shandong,Liaocheng,China,15819,509492324775
130,1,CHARLOTTE,HUNTER,CHARLOTTE.HUNTER@sakilacustomer.org,1,758 Junan Lane,Gois,guas Lindas de Gois,Brazil,82639,935448624185
131,2,MONICA,HICKS,MONICA.HICKS@sakilacustomer.org,1,1752 So Leopoldo Parkway,Taka-Karpatia,Mukateve,Ukraine,14014,252265130067
132,2,ESTHER,CRAWFORD,ESTHER.CRAWFORD@sakilacustomer.org,1,898 Belm Manor,Free State,Botshabelo,South Africa,49757,707169393853
133,1,PAULINE,HENRY,PAULINE.HENRY@sakilacustomer.org,1,261 Saint Louis Way,Coahuila de Zaragoza,Torren,Mexico,83401,321944036800
134,1,EMMA,BOYD,EMMA.BOYD@sakilacustomer.org,1,765 Southampton Drive,al-Qalyubiya,Qalyub,Egypt,4285,23712411567
135,2,JUANITA,MASON,JUANITA.MASON@sakilacustomer.org,1,943 Johannesburg Avenue,Maharashtra,Pune,India,5892,90921003005
136,2,ANITA,MORALES,ANITA.MORALES@sakilacustomer.org,1,788 Atinsk Street,Karnataka,Hubli-Dharwad,India,81691,146497509724
137,2,RHONDA,KENNEDY,RHONDA.KENNEDY@sakilacustomer.org,1,1749 Daxian Place,Gelderland,Apeldoorn,Netherlands,11044,963369996279
138,1,HAZEL,WARREN,HAZEL.WARREN@sakilacustomer.org,1,1587 Sullana Lane,Inner Mongolia,Hohhot,China,85769,468060467018
139,1,AMBER,DIXON,AMBER.DIXON@sakilacustomer.org,1,1029 Dzerzinsk Manor,Ynlin,Touliu,Taiwan,57519,33173584456
140,1,EVA,RAMOS,EVA.RAMOS@sakilacustomer.org,1,1666 Beni-Mellal Place,Tennessee,Clarksville,United States,13377,9099941466
141,1,DEBBIE,REYES,DEBBIE.REYES@sakilacustomer.org,1,928 Jaffna Loop,Hiroshima,Fukuyama,Japan,93762,581852137991
142,1,APRIL,BURNS,APRIL.BURNS@sakilacustomer.org,1,483 Ljubertsy Parkway,Scotland,Dundee,United Kingdom,60562,581174211853
143,1,LESLIE,GORDON,LESLIE.GORDON@sakilacustomer.org,1,374 Bat Yam Boulevard,Kilis,Kilis,Turkey,97700,923261616249
144,1,CLARA,SHAW,CLARA.SHAW@sakilacustomer.org,1,1027 Songkhla Manor,Minsk,Molodetno,Belarus,30861,563660187896
145,1,LUCILLE,HOLMES,LUCILLE.HOLMES@sakilacustomer.org,1,999 Sanaa Loop,Gauteng,Soshanguve,South Africa,3439,918032330119
146,1,JAMIE,RICE,JAMIE.RICE@sakilacustomer.org,1,879 Newcastle Way,Michigan,Sterling Heights,United States,90732,206841104594
147,2,JOANNE,ROBERTSON,JOANNE.ROBERTSON@sakilacustomer.org,1,1337 Lincoln Parkway,Saitama,Urawa,Japan,99457,597815221267
148,1,ELEANOR,HUNT,ELEANOR.HUNT@sakilacustomer.org,1,1952 Pune Lane,Saint-Denis,Saint-Denis,Runion,92150,354615066969
149,1,VALERIE,BLACK,VALERIE.BLACK@sakilacustomer.org,1,782 Mosul Street,Massachusetts,Brockton,United States,25545,885899703621
150,2,DANIELLE,DANIELS,DANIELLE.DANIELS@sakilacustomer.org,1,781 Shimonoseki Drive,Michoacn de Ocampo,Hidalgo,Mexico,95444,632316273199
151,2,MEGAN,PALMER,MEGAN.PALMER@sakilacustomer.org,1,1560 Jelets Boulevard,Shandong,Laiwu,China,77777,189446090264
152,1,ALICIA,MILLS,ALICIA.MILLS@sakilacustomer.org,1,1963 Moscow Place,Assam,Nagaon,India,64863,761379480249
153,2,SUZANNE,NICHOLS,SUZANNE.NICHOLS@sakilacustomer.org,1,456 Escobar Way,Jakarta Raya,Jakarta,Indonesia,36061,719202533520
154,2,MICHELE,GRANT,MICHELE.GRANT@sakilacustomer.org,1,798 Cianjur Avenue,Shanxi,Yuncheng,China,76990,499408708580
155,1,GAIL,KNIGHT,GAIL.KNIGHT@sakilacustomer.org,1,185 Novi Sad Place,Bern,Bern,Switzerland,41778,904253967161
156,1,BERTHA,FERGUSON,BERTHA.FERGUSON@sakilacustomer.org,1,1367 Yantai Manor,Ondo & Ekiti,Ondo,Nigeria,21294,889538496300
157,2,DARLENE,ROSE,DARLENE.ROSE@sakilacustomer.org,1,1386 Nakhon Sawan Boulevard,Pyongyang-si,Pyongyang,North Korea,53502,368899174225
158,1,VERONICA,STONE,VERONICA.STONE@sakilacustomer.org,1,369 Papeete Way,North Carolina,Greensboro,United States,66639,170117068815
159,1,JILL,HAWKINS,JILL.HAWKINS@sakilacustomer.org,1,1440 Compton Place,North Austria,Linz,Austria,81037,931059836497
160,2,ERIN,DUNN,ERIN.DUNN@sakilacustomer.org,1,1623 Baha Blanca Manor,Moskova,Ljubertsy,Russian Federation,81511,149981248346
161,1,GERALDINE,PERKINS,GERALDINE.PERKINS@sakilacustomer.org,1,97 Shimoga Avenue,Tel Aviv,Tel Aviv-Jaffa,Israel,44660,177167004331
162,2,LAUREN,HUDSON,LAUREN.HUDSON@sakilacustomer.org,1,1740 Le Mans Loop,Pays de la Loire,Le Mans,France,22853,168476538960
163,1,CATHY,SPENCER,CATHY.SPENCER@sakilacustomer.org,1,1287 Xiangfan Boulevard,Gifu,Kakamigahara,Japan,57844,819416131190
164,2,JOANN,GARDNER,JOANN.GARDNER@sakilacustomer.org,1,842 Salzburg Lane,Adana,Tarsus,Turkey,3313,697151428760
165,2,LORRAINE,STEPHENS,LORRAINE.STEPHENS@sakilacustomer.org,1,154 Tallahassee Loop,Xinxiang,Hami,China,62250,935508855935
166,1,LYNN,PAYNE,LYNN.PAYNE@sakilacustomer.org,1,710 San Felipe del Progreso Avenue,Lilongwe,Lilongwe,Malawi,76901,843801144113
167,2,SALLY,PIERCE,SALLY.PIERCE@sakilacustomer.org,1,1540 Wroclaw Drive,Maharashtra,Chandrapur,India,62686,182363341674
168,1,REGINA,BERRY,REGINA.BERRY@sakilacustomer.org,1,475 Atinsk Way,Gansu,Jinchang,China,59571,201705577290
169,2,ERICA,MATTHEWS,ERICA.MATTHEWS@sakilacustomer.org,0,1294 Firozabad Drive,Jiangxi,Pingxiang,China,70618,161801569569
170,1,BEATRICE,ARNOLD,BEATRICE.ARNOLD@sakilacustomer.org,1,1877 Ezhou Lane,Rajasthan,Udaipur,India,63337,264541743403
171,2,DOLORES,WAGNER,DOLORES.WAGNER@sakilacustomer.org,1,316 Uruapan Street,Perak,Ipoh,Malaysia,58194,275788967899
172,1,BERNICE,WILLIS,BERNICE.WILLIS@sakilacustomer.org,1,29 Pyongyang Loop,Batman,Batman,Turkey,47753,734780743462
173,1,AUDREY,RAY,AUDREY.RAY@sakilacustomer.org,1,1010 Klerksdorp Way,Steiermark,Graz,Austria,6802,493008546874
174,2,YVONNE,WATKINS,YVONNE.WATKINS@sakilacustomer.org,1,1848 Salala Boulevard,Miranda,Ocumare del Tuy,Venezuela,25220,48265851133
175,1,ANNETTE,OLSON,ANNETTE.OLSON@sakilacustomer.org,1,431 Xiangtan Avenue,Kerala,Allappuzha (Alleppey),India,4854,230250973122
176,1,JUNE,CARROLL,JUNE.CARROLL@sakilacustomer.org,1,757 Rustenburg Avenue,Skikda,Skikda,Algeria,89668,506134035434
177,2,SAMANTHA,DUNCAN,SAMANTHA.DUNCAN@sakilacustomer.org,1,146 Johannesburg Way,Tamaulipas,Matamoros,Mexico,54132,953689007081
178,2,MARION,SNYDER,MARION.SNYDER@sakilacustomer.org,1,1891 Rizhao Boulevard,So Paulo,Santa Brbara dOeste,Brazil,47288,391065549876
179,1,DANA,HART,DANA.HART@sakilacustomer.org,1,1089 Iwatsuki Avenue,Kirov,Kirovo-Tepetsk,Russian Federation,35109,866092335135
180,2,STACY,CUNNINGHAM,STACY.CUNNINGHAM@sakilacustomer.org,1,1410 Benin City Parkway,Risaralda,Pereira,Colombia,29747,104150372603
181,2,ANA,BRADLEY,ANA.BRADLEY@sakilacustomer.org,1,682 Garden Grove Place,Tennessee,Memphis,United States,67497,72136330362
