film_id,title,description,category,language,rating,release_year,rental_duration,actor,special_features,fulltext,length,rental_rate,replacement_cost
11,ALAMO VIDEOTAPE,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,Foreign,English             ,G,2006,6,"{'Johnny Cage', 'Sean Guiness', 'Michael Bening', 'Scarlett Damon'}","{Commentaries,""Behind the Scenes""}",'alamo':1 'bore':4 'butler':8 'cat':11 'chef':17 'convent':21 'epistl':5 'fight':14 'must':13 'mysql':20 'pastri':16 'videotap':2,126,0.99,16.99
12,ALASKA PHANTOM,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,Music,English             ,PG,2006,6,"{'Val Bolger', 'Burt Posey', 'Sylvester Dern', 'Albert Johansson', 'Sidney Crowe', 'Jeff Silverstone', 'Gene Mckellen'}","{Commentaries,""Deleted Scenes""}",'alaska':1 'australia':19 'boy':17 'chef':12 'fanci':4 'hunter':8 'must':14 'pastri':11 'phantom':2 'saga':5 'vanquish':15,136,0.99,22.99
213,DATE SPEED,A Touching Saga of a Composer And a Moose who must Discover a Dentist in A MySQL Convention,Family,English             ,R,2006,4,"{'Jude Cruise', 'Rip Winslet', 'Karl Berry', 'Kevin Bloom'}",{Commentaries},'compos':8 'convent':20 'date':1 'dentist':16 'discov':14 'moos':11 'must':13 'mysql':19 'saga':5 'speed':2 'touch':4,104,0.99,19.99
13,ALI FOREVER,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,Horror,English             ,PG,2006,4,"{'Christopher Berry', 'Morgan Mcdormand', 'Jon Chase', 'Cary Mcconaughey', 'Kenneth Torn'}","{""Deleted Scenes"",""Behind the Scenes""}",'action':5 'action-pack':4 'ali':1 'battl':16 'canadian':21 'crocodil':13 'dentist':10 'drama':7 'feminist':18 'forev':2 'must':15 'pack':6 'rocki':22,150,4.99,21.99
14,ALICE FANTASIA,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,Classics,English             ,NC-17,2006,6,"{'Woody Hoffman', 'Minnie Zellweger', 'Rock Dukakis', 'Morgan Williams'}","{Trailers,""Deleted Scenes"",""Behind the Scenes""}",'administr':13 'alic':1 'databas':12 'drama':5 'emot':4 'fantasia':2 'georgia':21 'must':15 'pioneer':18 'shark':9 'soviet':20 'vanquish':16,94,0.99,23.99
15,ALIEN CENTER,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,Foreign,English             ,NC-17,2006,5,"{'Renee Tracy', 'Humphrey Willis', 'Kenneth Paltrow', 'Sidney Crowe', 'Burt Dukakis', 'Mena Hopper'}","{Trailers,Commentaries,""Behind the Scenes""}",'alien':1 'battl':15 'brilliant':4 'cat':8 'center':2 'convent':21 'drama':5 'feminist':17 'mad':11 'must':14 'mysql':20 'scientist':12,46,2.99,10.99
16,ALLEY EVOLUTION,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,Foreign,English             ,NC-17,2006,6,"{'Gregory Gooding', 'Albert Johansson', 'Jude Cruise', 'John Suvari', 'Karl Berry'}","{Trailers,Commentaries}",'alley':1 'astronaut':18 'battl':16 'compos':13 'drama':7 'evolut':2 'fast':5 'fast-pac':4 'must':15 'new':20 'orlean':21 'pace':6 'robot':10,180,2.99,23.99
17,ALONE TRIP,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,Music,English             ,R,2006,3,"{'Uma Wood', 'Laurence Bullock', 'Woody Jolie', 'Ed Chase', 'Renee Ball', 'Karl Berry', 'Chris Depp', 'Spencer Depp'}","{Trailers,""Behind the Scenes""}",'abandon':22 'alon':1 'boat':19 'charact':7 'compos':11 'dog':14 'fast':5 'fast-pac':4 'fun':23 'hous':24 'must':16 'outgun':17 'pace':6 'studi':8 'trip':2,82,0.99,14.99
18,ALTER VICTORY,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,Animation,English             ,PG-13,2006,6,"{'Jada Ryder', 'Reese Kilmer', 'Angela Witherspoon', 'Oprah Kilmer'}","{Trailers,""Behind the Scenes""}",'agent':17 'alter':1 'canadian':20 'compos':8 'drama':5 'feminist':11 'meet':14 'must':13 'rocki':21 'secret':16 'thought':4 'victori':2,57,0.99,27.99
19,AMADEUS HOLY,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,Action,English             ,PG,2006,6,"{'James Pitt', 'Johnny Lollobrigida', 'Val Bolger', 'Julia Mcqueen', 'Penelope Cronyn', 'Kirk Jovovich'}","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",'amadeus':1 'baloon':20 'battl':15 'display':5 'emot':4 'holi':2 'man':17 'must':14 'pioneer':8 'technic':11 'writer':12,113,0.99,20.99
20,AMELIE HELLFIGHTERS,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon,Music,English             ,R,2006,4,"{'Ewan Gooding', 'Laura Brody', 'Walter Torn', 'Ed Mansfield', 'Carmen Hunt', 'Ian Tandy'}","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",'ameli':1 'baloon':19 'bore':4 'conquer':14 'drama':5 'hellfight':2 'must':13 'squirrel':11 'student':16 'woman':8,79,4.99,23.99
21,AMERICAN CIRCUS,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,Action,English             ,R,2006,3,"{'Warren Jackman', 'Frances Tomei', 'Rip Crawford', 'Kevin Bloom', 'Sidney Crowe'}","{Commentaries,""Behind the Scenes""}",'administr':17 'american':1 'astronaut':11 'circus':2 'databas':16 'drama':5 'face':14 'girl':8 'insight':4 'must':13 'shark':20 'tank':21,129,4.99,17.99
22,AMISTAD MIDSUMMER,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,New,English             ,G,2006,6,"{'Daryl Wahlberg', 'Scarlett Bening', 'Cary Mcconaughey', 'Salma Nolte'}","{Commentaries,""Behind the Scenes""}",'amistad':1 'california':20 'charact':5 'crocodil':12 'dentist':9 'emot':4 'meet':15 'midsumm':2 'must':14 'studi':6 'sumo':17 'wrestler':18,85,2.99,10.99
23,ANACONDA CONFESSIONS,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,Animation,English             ,R,2006,3,"{'Jayne Nolte', 'Elvis Marx', 'Jennifer Davis', 'Penelope Guiness', 'Humphrey Willis'}","{Trailers,""Deleted Scenes""}","'anaconda':1 'australia':18 'confess':2 'dentist':8,11 'display':5 'fight':14 'girl':16 'lacklustur':4 'must':13",92,0.99,9.99
24,ANALYZE HOOSIERS,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,Horror,English             ,R,2006,6,"{'Ed Guiness', 'Jessica Bailey', 'Greta Malden', 'Tom Mckellen', 'Tom Miranda'}","{Trailers,""Behind the Scenes""}",'analyz':1 'chef':12 'desert':21 'display':5 'explor':8 'feminist':17 'hoosier':2 'must':14 'overcom':15 'pastri':11 'sahara':20 'thought':4,181,2.99,19.99
25,ANGELS LIFE,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,New,English             ,G,2006,3,"{'Jennifer Davis', 'Christopher Berry', 'Penelope Guiness', 'Julia Barrymore', 'Grace Mostel', 'Laurence Bullock', 'Renee Ball', 'Nick Degeneres', 'Ed Mansfield'}",{Trailers},'angel':1 'astronaut':11 'battl':14 'berlin':18 'display':5 'life':2 'must':13 'robot':16 'thought':4 'woman':8,74,2.99,15.99
26,ANNIE IDENTITY,A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park,Sci-Fi,English             ,G,2006,3,"{'Greta Keitel', 'Cate Mcqueen', 'Adam Grant'}","{Commentaries,""Deleted Scenes""}",'abandon':20 'amaz':4 'amus':21 'anni':1 'boat':12 'chef':9 'escap':15 'ident':2 'must':14 'panorama':5 'park':22 'pastri':8 'woman':17,86,0.99,15.99
27,ANONYMOUS HUMAN,A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank,Sports,English             ,NC-17,2006,7,"{'Jim Mostel', 'Ed Guiness', 'Fay Kilmer', 'Susan Davis', 'Grace Mostel', 'Meryl Gibson', 'Emily Dee', 'Mena Hopper', 'Whoopi Hurt'}","{""Deleted Scenes"",""Behind the Scenes""}","'administr':9,18 'amaz':4 'anonym':1 'astronaut':12 'databas':8,17 'human':2 'must':14 'outrac':15 'reflect':5 'shark':21 'tank':22",179,0.99,12.99
28,ANTHEM LUKE,A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park,Comedy,English             ,PG-13,2006,5,"{'Milla Keitel', 'Oprah Kilmer'}","{""Deleted Scenes"",""Behind the Scenes""}",'abandon':19 'amus':20 'anthem':1 'dog':16 'luke':2 'must':13 'outrac':14 'panorama':5 'park':21 'touch':4 'waitress':8 'woman':11,91,4.99,16.99
29,ANTITRUST TOMATOES,A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India,Action,English             ,NC-17,2006,5,"{'Uma Wood', 'Salma Nolte', 'William Hackman', 'Bette Nicholson', 'Reese West', 'Renee Ball', 'Sidney Crowe'}","{Trailers,Commentaries,""Deleted Scenes""}",'administr':17 'ancient':19 'antitrust':1 'databas':16 'fate':4 'feminist':11 'india':20 'must':13 'succumb':14 'tomato':2 'woman':8 'yarn':5,168,2.99,11.99
30,ANYTHING SAVANNAH,A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House,Horror,English             ,R,2006,4,"{'Christopher West', 'Lisa Monroe', 'Joe Swank'}","{Trailers,""Deleted Scenes"",""Behind the Scenes""}",'abandon':20 'anyth':1 'chase':15 'chef':9 'epic':4 'feminist':17 'fun':21 'hous':22 'must':14 'pastri':8 'savannah':2 'stori':5 'woman':12,82,2.99,27.99
31,APACHE DIVINE,A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat,Family,English             ,NC-17,2006,5,"{'Henry Berry', 'Cuba Olivier', 'Anne Cronyn', 'Nick Wahlberg'}","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",'apach':1 'awe':5 'awe-inspir':4 'boat':25 'chef':11 'divin':2 'inspir':6 'must':16 'overcom':17 'pastri':10 'reflect':7 'sumo':19 'teacher':14 'u':24 'u-boat':23 'wrestler':20,92,4.99,16.99
32,APOCALYPSE FLAMINGOS,A Astounding Story of a Dog And a Squirrel who must Defeat a Woman in An Abandoned Amusement Park,New,English             ,R,2006,6,"{'Will Wilson', 'Vivien Basinger', 'Russell Close', 'Mae Hoffman', 'Oprah Kilmer'}","{Trailers,Commentaries}",'abandon':19 'amus':20 'apocalyps':1 'astound':4 'defeat':14 'dog':8 'flamingo':2 'must':13 'park':21 'squirrel':11 'stori':5 'woman':16,119,4.99,11.99
33,APOLLO TEEN,A Action-Packed Reflection of a Crocodile And a Explorer who must Find a Sumo Wrestler in An Abandoned Mine Shaft,Drama,English             ,PG-13,2006,5,"{'Mena Hopper', 'Woody Jolie', 'Albert Johansson', 'Ed Mansfield', 'Debbie Akroyd', 'Jeff Silverstone', 'Mae Hoffman', 'Oprah Kilmer'}","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}",'abandon':22 'action':5 'action-pack':4 'apollo':1 'crocodil':10 'explor':13 'find':16 'mine':23 'must':15 'pack':6 'reflect':7 'shaft':24 'sumo':18 'teen':2 'wrestler':19,153,2.99,15.99
34,ARABIA DOGMA,A Touching Epistle of a Madman And a Mad Cow who must Defeat a Student in Nigeria,Horror,English             ,NC-17,2006,6,"{'Russell Bacall', 'Lisa Monroe', 'Burt Posey', 'Frances Tomei', 'Sean Williams', 'Walter Torn', 'Julia Mcqueen', 'Rip Crawford', 'Greta Malden', 'Jude Cruise', 'Karl Berry', 'Johnny Cage'}","{Commentaries,""Deleted Scenes""}",'arabia':1 'cow':12 'defeat':15 'dogma':2 'epistl':5 'mad':11 'madman':8 'must':14 'nigeria':19 'student':17 'touch':4,62,0.99,29.99
35,ARACHNOPHOBIA ROLLERCOASTER,A Action-Packed Reflection of a Pastry Chef And a Composer who must Discover a Mad Scientist in The First Manned Space Station,Horror,English             ,PG-13,2006,4,"{'Cuba Allen', 'Ewan Gooding', 'Morgan Hopkins', 'Grace Mostel', 'Daryl Wahlberg', 'Judy Dean', 'Rita Reynolds', 'Humphrey Garland'}","{Trailers,""Deleted Scenes"",""Behind the Scenes""}",'action':5 'action-pack':4 'arachnophobia':1 'chef':11 'compos':14 'discov':17 'first':23 'mad':19 'man':24 'must':16 'pack':6 'pastri':10 'reflect':7 'rollercoast':2 'scientist':20 'space':25 'station':26,147,2.99,24.99
36,ARGONAUTS TOWN,A Emotional Epistle of a Forensic Psychologist And a Butler who must Challenge a Waitress in An Abandoned Mine Shaft,Animation,English             ,PG-13,2006,7,"{'Kevin Garland', 'Julia Barrymore', 'Gene Willis', 'Gary Penn', 'Dan Streep'}","{Trailers,Commentaries}",'abandon':20 'argonaut':1 'butler':12 'challeng':15 'emot':4 'epistl':5 'forens':8 'mine':21 'must':14 'psychologist':9 'shaft':22 'town':2 'waitress':17,127,0.99,12.99
37,ARIZONA BANG,A Brilliant Panorama of a Mad Scientist And a Mad Cow who must Meet a Pioneer in A Monastery,Classics,English             ,PG,2006,3,"{'Russell Bacall', 'Ray Johansson', 'Karl Berry', 'Greta Keitel'}","{Trailers,""Deleted Scenes""}","'arizona':1 'bang':2 'brilliant':4 'cow':13 'mad':8,12 'meet':16 'monasteri':21 'must':15 'panorama':5 'pioneer':18 'scientist':9",121,2.99,28.99
38,ARK RIDGEMONT,A Beautiful Yarn of a Pioneer And a Monkey who must Pursue a Explorer in The Sahara Desert,Action,English             ,NC-17,2006,6,"{'Nick Degeneres', 'Audrey Bailey', 'Parker Goldberg'}","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}",'ark':1 'beauti':4 'desert':20 'explor':16 'monkey':11 'must':13 'pioneer':8 'pursu':14 'ridgemont':2 'sahara':19 'yarn':5,68,0.99,25.99
39,ARMAGEDDON LOST,A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft,Sci-Fi,English             ,G,2006,5,"{'James Pitt', 'Angela Hudson', 'Cuba Allen', 'Gregory Gooding', 'Kim Allen', 'Penelope Cronyn', 'Gene Mckellen'}",{Trailers},'abandon':21 'armageddon':1 'boat':10 'compos':18 'fast':5 'fast-pac':4 'lost':2 'mine':22 'must':15 'pace':6 'shaft':23 'succumb':16 'tale':7 'teacher':13,99,0.99,10.99
40,ARMY FLINTSTONES,A Boring Saga of a Database Administrator And a Womanizer who must Battle a Waitress in Nigeria,Documentary,English             ,R,2006,4,"{'Russell Close', 'Ed Chase', 'Matthew Carrey', 'Cary Mcconaughey', 'Penelope Cronyn', 'Mae Hoffman', 'Gene Willis'}","{Trailers,Commentaries}",'administr':9 'armi':1 'battl':15 'bore':4 'databas':8 'flintston':2 'must':14 'nigeria':19 'saga':5 'waitress':17 'woman':12,148,0.99,22.99
41,ARSENIC INDEPENDENCE,A Fanciful Documentary of a Mad Cow And a Womanizer who must Find a Dentist in Berlin,Travel,English             ,PG,2006,4,"{'Rita Reynolds', 'Cuba Allen', 'Oprah Kilmer'}","{Trailers,""Deleted Scenes"",""Behind the Scenes""}",'arsenic':1 'berlin':19 'cow':9 'dentist':17 'documentari':5 'fanci':4 'find':15 'independ':2 'mad':8 'must':14 'woman':12,137,0.99,17.99
42,ARTIST COLDBLOODED,A Stunning Reflection of a Robot And a Moose who must Challenge a Woman in California,Sports,English             ,NC-17,2006,5,"{'Renee Tracy', 'Jayne Neeson', 'Ed Chase', 'Sandra Kilmer', 'Sidney Crowe', 'Kirk Jovovich', 'Meryl Allen'}","{Trailers,""Behind the Scenes""}",'artist':1 'california':18 'challeng':14 'coldblood':2 'moos':11 'must':13 'reflect':5 'robot':8 'stun':4 'woman':16,170,2.99,10.99
43,ATLANTIS CAUSE,A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank,Family,English             ,G,2006,6,"{'Woody Hoffman', 'Cuba Birch', 'Frances Tomei', 'Cate Harris', 'Julianne Dench', 'Greta Keitel', 'Harvey Hope', 'Chris Depp', 'Audrey Olivier'}","{""Behind the Scenes""}",'atlanti':1 'caus':2 'feminist':8 'fight':14 'hunter':11 'must':13 'shark':20 'tank':21 'technic':16 'thrill':4 'writer':17 'yarn':5,170,2.99,15.99
44,ATTACKS HATE,A Fast-Paced Panorama of a Technical Writer And a Mad Scientist who must Find a Feminist in An Abandoned Mine Shaft,Sci-Fi,English             ,PG-13,2006,5,"{'Burt Temple', 'Milla Keitel', 'Groucho Dunst', 'Dan Torn'}","{Trailers,""Behind the Scenes""}",'abandon':23 'attack':1 'fast':5 'fast-pac':4 'feminist':20 'find':18 'hate':2 'mad':14 'mine':24 'must':17 'pace':6 'panorama':7 'scientist':15 'shaft':25 'technic':10 'writer':11,113,4.99,21.99
45,ATTRACTION NEWTON,A Astounding Panorama of a Composer And a Frisbee who must Reach a Husband in Ancient Japan,New,English             ,PG-13,2006,5,"{'Uma Wood', 'Gary Penn', 'Rip Winslet', 'Christopher West'}","{Trailers,""Behind the Scenes""}",'ancient':18 'astound':4 'attract':1 'compos':8 'frisbe':11 'husband':16 'japan':19 'must':13 'newton':2 'panorama':5 'reach':14,83,4.99,14.99
46,AUTUMN CROW,A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert,Games,English             ,G,2006,3,"{'James Pitt', 'Dustin Tautou', 'Angela Hudson'}","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}",'autumn':1 'battl':15 'beauti':4 'cow':12 'crow':2 'dentist':8 'desert':21 'mad':11 'moos':17 'must':14 'sahara':20 'tale':5,108,4.99,13.99
47,BABY HALL,A Boring Character Study of a A Shark And a Girl who must Outrace a Feminist in An Abandoned Mine Shaft,Foreign,English             ,NC-17,2006,5,"{'Kevin Garland', 'Vivien Basinger', 'Matthew Johansson', 'Daryl Wahlberg', 'Nick Wahlberg', 'Charlize Dench', 'Minnie Kilmer', 'River Dean'}",{Commentaries},'abandon':21 'babi':1 'bore':4 'charact':5 'feminist':18 'girl':13 'hall':2 'mine':22 'must':15 'outrac':16 'shaft':23 'shark':10 'studi':6,153,4.99,23.99
48,BACKLASH UNDEFEATED,A Stunning Character Study of a Mad Scientist And a Mad Cow who must Kill a Car in A Monastery,Children,English             ,PG-13,2006,3,"{'Kevin Garland', 'Jane Jackman', 'Christopher Berry', 'Sylvester Dern', 'Spencer Peck', 'Christian Akroyd', 'Dan Streep'}","{Trailers,""Behind the Scenes""}","'backlash':1 'car':19 'charact':5 'cow':14 'kill':17 'mad':9,13 'monasteri':22 'must':16 'scientist':10 'studi':6 'stun':4 'undef':2",118,4.99,24.99
49,BADMAN DAWN,A Emotional Panorama of a Pioneer And a Composer who must Escape a Mad Scientist in A Jet Boat,Sci-Fi,English             ,R,2006,6,"{'Olympia Pfeiffer', 'Warren Jackman', 'Alan Dreyfuss', 'Cuba Allen', 'Thora Temple', 'Ben Willis', 'Greta Keitel', 'Harrison Bale'}","{Trailers,Commentaries,""Behind the Scenes""}",'badman':1 'boat':21 'compos':11 'dawn':2 'emot':4 'escap':14 'jet':20 'mad':16 'must':13 'panorama':5 'pioneer':8 'scientist':17,162,2.99,22.99
50,BAKED CLEOPATRA,A Stunning Drama of a Forensic Psychologist And a Husband who must Overcome a Waitress in A Monastery,Family,English             ,G,2006,3,{'Michelle Mcconaughey'},"{Commentaries,""Behind the Scenes""}",'bake':1 'cleopatra':2 'drama':5 'forens':8 'husband':12 'monasteri':20 'must':14 'overcom':15 'psychologist':9 'stun':4 'waitress':17,182,2.99,20.99
51,BALLOON HOMEWARD,A Insightful Panorama of a Forensic Psychologist And a Mad Cow who must Build a Mad Scientist in The First Manned Space Station,Music,English             ,NC-17,2006,5,"{'Richard Penn', 'Parker Goldberg', 'Rock Dukakis', 'Gary Penn', 'Renee Ball', 'Mena Temple'}","{""Deleted Scenes""}","'balloon':1 'build':16 'cow':13 'first':22 'forens':8 'homeward':2 'insight':4 'mad':12,18 'man':23 'must':15 'panorama':5 'psychologist':9 'scientist':19 'space':24 'station':25",75,2.99,10.99
52,BALLROOM MOCKINGBIRD,A Thrilling Documentary of a Composer And a Monkey who must Find a Feminist in California,Foreign,English             ,G,2006,6,"{'Lucille Dee', 'Daryl Wahlberg', 'Judy Dean', 'Gene Mckellen', 'Ben Willis', 'Harrison Bale', 'Adam Grant'}","{Commentaries,""Deleted Scenes""}",'ballroom':1 'california':18 'compos':8 'documentari':5 'feminist':16 'find':14 'mockingbird':2 'monkey':11 'must':13 'thrill':4,173,0.99,29.99
53,BANG KWAI,A Epic Drama of a Madman And a Cat who must Face a A Shark in An Abandoned Amusement Park,Family,English             ,NC-17,2006,5,"{'Fay Wood', 'Bette Nicholson', 'Julia Barrymore', 'Walter Torn', 'Michelle Mcconaughey', 'Sandra Peck', 'Russell Temple'}","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",'abandon':20 'amus':21 'bang':1 'cat':11 'drama':5 'epic':4 'face':14 'kwai':2 'madman':8 'must':13 'park':22 'shark':17,87,2.99,25.99
54,BANGER PINOCCHIO,A Awe-Inspiring Drama of a Car And a Pastry Chef who must Chase a Crocodile in The First Manned Space Station,Music,English             ,R,2006,5,"{'Lucille Tracy', 'Audrey Bailey', 'Johnny Lollobrigida', 'Jayne Neeson', 'Dustin Tautou', 'Gene Willis'}","{Trailers,Commentaries,""Deleted Scenes""}",'awe':5 'awe-inspir':4 'banger':1 'car':10 'chase':17 'chef':14 'crocodil':19 'drama':7 'first':22 'inspir':6 'man':23 'must':16 'pastri':13 'pinocchio':2 'space':24 'station':25,113,0.99,15.99
55,BARBARELLA STREETCAR,A Awe-Inspiring Story of a Feminist And a Cat who must Conquer a Dog in A Monastery,Sci-Fi,English             ,G,2006,6,"{'Alan Dreyfuss', 'Cuba Allen', 'Nick Degeneres', 'Mary Tandy', 'Gene Mckellen'}","{""Behind the Scenes""}",'awe':5 'awe-inspir':4 'barbarella':1 'cat':13 'conquer':16 'dog':18 'feminist':10 'inspir':6 'monasteri':21 'must':15 'stori':7 'streetcar':2,65,2.99,27.99
